cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
32619,1,5470932086906,5470932086944,5470932086963,5470932400316,5470932400338,224474,57,224474,22,224553,2112000000
32616,1,5470932088376,5470932088405,5470932088436,5470932407527,5470932407550,230931,60,230931,23,231014,2112000000
32611,1,5470932137897,5470932137927,5470932137954,5470932415115,5470932415150,227043,57,227043,35,227135,2112000000
32610,1,5470932139268,5470932139296,5470932139323,5470932422948,5470932422972,234069,55,234069,24,234148,2112000000
32617,1,5470932140610,5470932140639,5470932140665,5470932430151,5470932430179,240541,55,240541,28,240624,2112000000
32630,1,5470932049915,5470932049946,5470932049968,5470932437830,5470932437859,280477,53,280477,29,280559,2112000000
32635,1,5470932143352,5470932143381,5470932143411,5470932446363,5470932446398,255305,59,255305,35,255399,2112000000
32614,1,5470932144495,5470932144533,5470932144554,5470932455051,5470932455072,263276,59,263276,21,263356,2112000000
32639,1,5470932065535,5470932065564,5470932065598,5470932462698,5470932462721,297736,63,297736,23,297822,2112000000
32612,1,5470932020535,5470932020566,5470932020586,5470932469803,5470932469828,320267,51,320267,25,320343,2112000000
32621,1,5470932146760,5470932146791,5470932146815,5470932481830,5470932481853,288692,55,288692,23,288770,2112000000
32636,1,5470932148025,5470932148064,5470932148084,5470932512596,5470932512630,318776,59,318776,34,318869,2112000000
32613,1,5470932149229,5470932149259,5470932149284,5470932521332,5470932521363,326681,55,326681,31,326767,2112000000
32626,1,5470932151688,5470932151720,5470932151741,5470932529130,5470932529159,333037,53,333037,29,333119,2112000000
32633,1,5470932153311,5470932153340,5470932153362,5470932537411,5470932537443,340516,51,340516,32,340599,2112000000
32609,1,5470932154211,5470932154240,5470932154268,5470932545469,5470932545508,347902,57,347902,39,347998,2112000000
32625,1,5470932155945,5470932155973,5470932155998,5470932553473,5470932553503,355007,53,355007,30,355090,2112000000
32608,1,5470932157943,5470932157972,5470932158002,5470932561258,5470932561297,361294,59,361294,39,361392,2112000000
32629,1,5470932142128,5470932142158,5470932142181,5470932572778,5470932572843,382410,53,382410,65,382528,2112000000
32637,1,5470932150498,5470932150526,5470932150557,5470932580895,5470932580920,385518,59,385518,25,385602,2112000000
32632,1,5470932145811,5470932145841,5470932145862,5470932589094,5470932589123,396595,51,396595,29,396675,2112000000
32620,1,5470932157033,5470932157063,5470932157086,5470932596935,5470932597084,397846,53,397846,149,398048,2112000000
182,0,5470932623638,5470932624021,5470932624056,5470934512734,5470934512760,1602309,418,1602309,26,1602753,2112000000
182,0,5470934527516,5470934527571,5470934527582,5470936053392,5470936053418,1309738,66,1309738,26,1309830,2112000000
190,0,5407506382356,5407506382529,5407506382639,5470965444041,5470965444051,0,283,63459061402,10,63459061695,2112000000
189,0,5407506382796,5407506382954,5407506384105,5470965487454,5470965487581,0,1309,63459103349,127,63459104785,2112000000
188,0,5407506384171,5407506384329,5407506385511,5470965497786,5470965498149,0,1340,63459112275,363,63459113978,2112000000
187,0,5407506385578,5407506385723,5407506386808,5470965506099,5470965506256,0,1230,63459119291,157,63459120678,2112000000
186,0,5407506386882,5407506387031,5407506388190,5470965513803,5470965513975,0,1308,63459125613,172,63459127093,2112000000
185,0,5407506388269,5407506388406,5407506389412,5470965522862,5470965523021,0,1143,63459133450,159,63459134752,2112000000
184,0,5407506389479,5407506389616,5407506390783,5470965530629,5470965530849,0,1304,63459139846,220,63459141370,2112000000
183,0,5407506390862,5407506390999,5407506392111,5470965539342,5470965539352,0,1249,63459147231,10,63459148490,2112000000
cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
191,0,5472230748134,5472230752176,5472230753964,5472232131136,5472232131553,96049,5830,96049,417,102296,2112000000
191,0,5472233379141,5472233379283,5472233379633,5472239330996,5472239331023,411947,492,411947,27,412466,2112000000
191,0,5472239351242,5472239351322,5472239351346,5472239464408,5472239464436,8124,104,8124,28,8256,2112000000
